Tierkidi,Gambella,Ethiopia,8.28147,34.2693,camp,,52222
Pugnido,Gambella,Ethiopia,7.75,34.5,camp,,20707
Jewi,Gambella,Ethiopia,8.131498333,34.73316833,camp,,46139
Kule,Gambella,Ethiopia,8.1654,34.151,camp,,47444
Kakuma,Turkana,Kenya,3.729882,34.843126,camp,,46457
Khartoum,Khartoum,Sudan,15,32,camp,,34059
West_Kordofan,West_Kordofan,Sudan,15.900148,27.581123,camp,,22221
Adjumani,Adjumani,Uganda,3.49149,31.552735,camp,,112734
Rhino,Arua,Uganda,3.08836,31.3636,camp,,14244
Kiryandongo,Kiryandongo,Uganda,1.940341667,32.18017222,camp,,37073
Amboko,La_Nya_Pende_Province,Chad,7.935476,16.594162,camp,,8178
Belom,Grande_Sido_Province,Chad,8.4475001,18.7544444,camp,,18925
Dosseye,La_Nya_Pende_Province,Chad,8.1591666,16.4888888,camp,,12234
Gondje,La_Nya_Pende_Province,Chad,7.939438,16.553668,camp,,7747
Moyo,Moyen-Chari_Province,Chad,9.91268,20.8723702,camp,,7292
East,East_Province,Cameroon,4.401183,14.238281,camp,,179216
Adamaoua,Adamawa_Province,Cameroon,6.83917,13.183594,camp,,71284
Mole,Sud-Ubangi_Province,DRC,4.1005,18.6584,camp,,20454
Bili,Equateur_Province,DRC,3.513421,20.917969,camp,,7727
Boyabu,Equateur_Province,DRC,3.9157,18.7397,camp,,16992
Mboti,Oriental_Province,DRC,4.0377,25.8301,camp,,9294
Inke,Nord-Ubangi_Province,DRC,4.097438,20.766577,camp,,30905
Betou,Dongou_Province,RC,3.062182,18.518301,camp,,16653
Brazaville,Brazzaville,RC,-4.27934,15.26039,camp,,8273
Mentao,,Burkina_Faso,13.951043,-1.685893,camp,,6881
Bobo-Dioulasso,,Burkina_Faso,11.167575,-4.308731,camp,,1874
Abala,,Niger,14.930728,3.434901,camp,,11067
Mangaize,,Niger,14.682616,1.95179,camp,,3435
Niamey,,Niger,13.511758,2.127956,camp,,6510
Fassala-Mbera,,Mauritania,15.639012,-5.751422,camp,,54028
